id,name,occupational_structure_level_id/id,active
occupational_structure_A1,A1,occupational_structure_level_A,True
occupational_structure_B1,B1,occupational_structure_level_B,True
occupational_structure_B2,B2,occupational_structure_level_B,True
occupational_structure_B3,B3,occupational_structure_level_B,True
occupational_structure_C1,C1,occupational_structure_level_C,True
occupational_structure_C2,C2,occupational_structure_level_C,True
occupational_structure_C3,C3,occupational_structure_level_C,True
occupational_structure_D1,D1,occupational_structure_level_D,True
occupational_structure_D2,D2,occupational_structure_level_D,True
occupational_structure_E1,E1,occupational_structure_level_E,True
occupational_structure_E2,E2,occupational_structure_level_E,True